Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,146.699997,148.369995,142.039993,142.149994,142.149994,16469000
2021-12-02,142.839996,147.649994,142.770004,147.199997,147.199997,18177700
2021-12-03,147.809998,148.320007,144.320007,146.220001,146.220001,14975600
2021-12-06,147.279999,150.740005,146.669998,150.369995,150.369995,14333900
2021-12-07,151.839996,152.759995,149.720001,150.809998,150.809998,14661100
2021-12-08,150.910004,153.660004,150.559998,153.339996,153.339996,12886300
2021-12-09,152.270004,154.289993,151.699997,152.940002,152.940002,11862300
2021-12-10,153.580002,154.660004,151.449997,152.710007,152.710007,10247900
2021-12-13,152.119995,152.500000,149.289993,150.429993,150.429993,10195800
2021-12-14,149.259995,151.619995,148.520004,149.100006,149.100006,10872000
2021-12-15,148.759995,150.919998,147.350006,150.399994,150.399994,12231500
2021-12-16,151.350006,152.059998,148.580002,148.750000,148.750000,11145600
2021-12-17,148.509995,149.839996,146.570007,148.759995,148.759995,13785000
2021-12-20,146.979996,147.729996,145.080002,146.470001,146.470001,11201900
2021-12-21,147.559998,151.429993,147.389999,151.050003,151.050003,10781400
2021-12-22,150.419998,152.199997,149.869995,151.880005,151.880005,7820400
2021-12-23,152.320007,154.190002,151.929993,153.630005,153.630005,6572400
2021-12-27,152.880005,154.020004,151.399994,152.800003,152.800003,7762000
2021-12-28,152.619995,156.500000,152.410004,155.199997,155.199997,12198700
2021-12-29,154.559998,155.919998,154.179993,154.869995,154.869995,8737000
2021-12-30,155.710007,157.070007,155.509995,155.929993,155.929993,7228400
2021-12-31,155.869995,156.570007,154.740005,154.889999,154.889999,6410200
2022-01-03,155.830002,157.559998,155.360001,156.759995,156.759995,10222800
2022-01-04,158.589996,160.320007,155.550003,155.729996,155.729996,16582000
2022-01-05,156.520004,159.380005,155.100006,155.190002,155.190002,12272100
2022-01-06,156.240005,157.770004,153.679993,156.899994,156.899994,11095300
2022-01-07,156.899994,159.300003,156.289993,157.830002,157.830002,9554600
2022-01-10,157.979996,158.270004,154.649994,156.600006,156.600006,8672900
2022-01-11,156.619995,158.220001,155.949997,157.889999,157.889999,8042600
2022-01-12,158.500000,158.990005,156.330002,157.800003,157.800003,6995600
2022-01-13,157.699997,158.529999,155.169998,155.440002,155.440002,9680600
2022-01-14,152.350006,152.619995,148.419998,151.940002,151.940002,16832000
2022-01-18,151.110001,153.130005,149.830002,152.270004,152.270004,10419500
2022-01-19,150.839996,152.860001,149.960007,150.110001,150.110001,10413200
2022-01-20,150.910004,152.660004,147.149994,147.619995,147.619995,11760400
2022-01-21,141.229996,141.869995,136.630005,137.380005,137.380005,34491800
2022-01-24,134.820007,137.679993,129.259995,137.460007,137.460007,31419500
2022-01-25,135.289993,137.750000,132.380005,136.509995,136.509995,14694400
2022-01-26,137.710007,138.199997,132.259995,133.600006,133.600006,14569900
2022-01-27,135.070007,137.910004,134.020004,135.419998,135.419998,11913900
2022-01-28,135.210007,138.690002,133.559998,138.630005,138.630005,10011700
2022-01-31,138.860001,143.149994,138.470001,142.970001,142.970001,10185500
2022-02-01,143.020004,144.690002,142.250000,144.490005,144.490005,8573300
2022-02-02,144.190002,144.589996,141.380005,142.619995,142.619995,9529900
2022-02-03,140.000000,142.039993,139.250000,140.029999,140.029999,9820600
2022-02-04,140.039993,143.190002,139.529999,142.020004,142.020004,8061100
2022-02-07,143.389999,144.089996,141.610001,142.509995,142.509995,10937500
2022-02-08,141.789993,142.889999,140.740005,142.479996,142.479996,9231700
2022-02-09,144.369995,147.350006,143.250000,147.229996,147.229996,22877400
2022-02-10,156.020004,157.500000,151.110001,152.160004,152.160004,42500300
2022-02-11,153.539993,154.690002,148.559998,149.470001,149.470001,17975200
2022-02-14,149.369995,153.729996,149.210007,150.850006,150.850006,14694700
2022-02-15,153.539993,154.850006,152.509995,154.720001,154.720001,12726000
2022-02-16,154.979996,156.729996,153.750000,156.350006,156.350006,10656400
2022-02-17,154.690002,155.360001,152.610001,152.949997,152.949997,8110300
2022-02-18,152.910004,153.679993,150.050003,151.360001,151.360001,10785500
2022-02-22,150.190002,150.789993,147.610001,148.089996,148.089996,12227200
2022-02-23,149.500000,149.740005,145.500000,145.869995,145.869995,9300700
2022-02-24,140.000000,149.570007,140.000000,149.399994,149.399994,12475500
2022-02-25,149.559998,150.279999,147.220001,149.529999,149.529999,10149500
2022-02-28,147.830002,149.479996,146.460007,148.460007,148.460007,10834700
2022-03-01,147.860001,148.149994,143.779999,145.699997,145.699997,8944000
2022-03-02,146.309998,148.470001,145.919998,147.339996,147.339996,7851000
2022-03-03,147.309998,148.649994,144.449997,145.570007,145.570007,8048400
2022-03-04,144.009995,144.259995,139.550003,140.720001,140.720001,12913000
2022-03-07,140.279999,140.889999,133.440002,133.500000,133.500000,14549700
2022-03-08,133.020004,135.490005,129.289993,131.750000,131.750000,16552000
2022-03-09,135.490005,135.500000,133.360001,133.649994,133.649994,14673100
2022-03-10,132.360001,134.199997,131.619995,133.639999,133.639999,8447200
2022-03-11,135.080002,136.160004,131.570007,131.750000,131.750000,7058400
2022-03-14,130.979996,133.070007,128.380005,129.029999,129.029999,9971500
2022-03-15,129.740005,134.559998,129.509995,134.199997,134.199997,9834800
2022-03-16,135.649994,138.979996,134.940002,138.139999,138.139999,10638700
2022-03-17,137.440002,139.470001,136.559998,139.470001,139.470001,6816000
2022-03-18,139.550003,140.729996,138.300003,140.300003,140.300003,11308800
2022-03-21,138.899994,139.300003,136.880005,138.619995,138.619995,9090300
2022-03-22,139.059998,142.190002,138.899994,140.110001,140.110001,8511600
2022-03-23,139.070007,139.759995,137.539993,137.639999,137.639999,8761300
2022-03-24,138.580002,139.270004,137.410004,138.960007,138.960007,5858800
2022-03-25,139.279999,140.380005,138.119995,139.139999,139.139999,5949400
2022-03-28,138.880005,139.630005,136.279999,138.720001,138.720001,8456100
2022-03-29,140.960007,144.460007,140.960007,142.380005,142.380005,11280700
2022-03-30,141.309998,143.270004,140.080002,140.960007,140.960007,7922400
2022-03-31,140.139999,140.880005,137.110001,137.160004,137.160004,12306500
2022-04-01,137.339996,138.100006,135.529999,137.000000,137.000000,10332300
2022-04-04,136.970001,139.259995,136.889999,138.580002,138.580002,8174600
2022-04-05,137.740005,139.199997,135.130005,135.619995,135.619995,8694100
2022-04-06,133.750000,133.929993,130.809998,132.570007,132.570007,11679700
2022-04-07,133.009995,133.210007,130.020004,131.869995,131.869995,9858700
2022-04-08,132.000000,133.119995,130.630005,131.869995,131.869995,6699900
2022-04-11,130.039993,132.429993,130.039993,130.649994,130.649994,9915300
2022-04-12,131.809998,133.210007,130.149994,130.839996,130.839996,7885600
2022-04-13,131.050003,132.889999,130.750000,132.350006,132.350006,7694500
2022-04-14,132.809998,133.589996,130.350006,130.470001,130.470001,7252200
2022-04-18,130.070007,130.220001,126.820000,127.398399,127.398399,8975485
